"Freq [GHz]","dB(S(1,2)) []"
2,-0.178503155805513
2.08163265306122,-0.190349096746442
2.16326530612245,-0.202444552289877
2.24489795918367,-0.214770589390366
2.3265306122449,-0.227306837541791
2.40816326530612,-0.240031152165079
2.48979591836735,-0.252943588895183
2.57142857142857,-0.266143520812861
2.6530612244898,-0.27938146664222
2.73469387755102,-0.292706424905342
2.81632653061224,-0.306135683615491
2.89795918367347,-0.319649222032056
2.97959183673469,-0.333226030504942
3.06122448979592,-0.346845733740316
3.14285714285714,-0.360488385357026
3.22448979591837,-0.374134326267199
3.30612244897959,-0.387764128381175
3.38775510204082,-0.401358580683603
3.46938775510204,-0.414898694790462
3.55102040816327,-0.428365719322486
3.63265306122449,-0.441741158061337
3.71428571428571,-0.455006789422661
3.79591836734694,-0.468144685994641
3.87755102040816,-0.48113723349174
3.95918367346939,-0.49396714878518
4.04081632653061,-0.506617496839999
4.12244897959184,-0.519071706483505
4.20408163265306,-0.531313584984942
4.28571428571429,-0.543327331459361
4.36734693877551,-0.555097549128942
4.44897959183673,-0.566609256487769
4.53061224489796,-0.577847897424018
4.61224489795918,-0.588799350358536
4.69387755102041,-0.59944993646184
4.77551020408163,-0.609786427013236
4.85714285714286,-0.619796049966587
4.93877551020408,-0.629466495787253
5.02040816326531,-0.638785922624509
5.10204081632653,-0.647742960882795
5.18367346938775,-0.656326717254288
5.26530612244898,-0.664526778273904
5.3469387755102,-0.672333213456466
5.42857142857143,-0.67973657807424
5.51020408163265,-0.686727915631308
5.59183673469388,-0.693298760089526
5.6734693877551,-0.699441137899073
5.75510204081633,-0.705147569884638
5.83673469387755,-0.710411073036487
5.91836734693878,-0.715225162253764
6,-0.719583852085331
